City	Edition	Sport	Discipline		NOC	Gender		Event_gender	Medal
Paris	1900	Aquatics	Swimming		FRA	Men		M	Silver
Paris	1900	Aquatics	Swimming		FRA	Men		M	Silver
Paris	1900	Aquatics	Swimming		FRA	Men		M	Silver
Paris	1900	Aquatics	Swimming		FRA	Men		M	Bronze
Paris	1900	Aquatics	Swimming		GBR	Men		M	Gold
Paris	1900	Aquatics	Swimming		HUN	Men		M	Silver
Paris	1900	Aquatics	Swimming		DEN	Men		M	Bronze
Paris	1900	Aquatics	Swimming		FRA	Men		M	Gold
Paris	1900	Aquatics	Swimming		FRA	Men		M	Silver
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		FRA	Men		M	Bronze
Paris	1900	Aquatics	Water polo		GBR	Men		M	Gold
Paris	1900	Aquatics	Water polo		GBR	Men		M	Gold
Paris	1900	Aquatics	Water polo		GBR	Men		M	Gold
Paris	1900	Aquatics	Water polo		GBR	Men		M	Gold
Paris	1900	Aquatics	Water polo		GBR	Men		M	Gold
Paris	1900	Aquatics	Water polo		GBR	Men		M	Gold
Paris	1900	Aquatics	Water polo		GBR	Men		M	Gold
Paris	1900	Aquatics	Water polo		BEL	Men		M	Silver
Paris	1900	Aquatics	Water polo		BEL	Men		M	Silver
Paris	1900	Aquatics	Water polo		BEL	Men		M	Silver
Paris	1900	Aquatics	Water polo		BEL	Men		M	Silver
Paris	1900	Aquatics	Water polo		BEL	Men		M	Silver
Paris	1900	Aquatics	Water polo		BEL	Men		M	Silver
Paris	1900	Aquatics	Water polo		BEL	Men		M	Silver
Paris	1900	Archery	Archery		FRA	Men		M	Bronze
Paris	1900	Archery	Archery		BEL	Men		M	Gold
Paris	1900	Archery	Archery		FRA	Men		M	Silver
Paris	1900	Archery	Archery		FRA	Men		M	Bronze
Paris	1900	Archery	Archery		FRA	Men		M	Gold
Paris	1900	Archery	Archery		FRA	Men		M	Silver
Paris	1900	Archery	Archery		FRA	Men		M	Bronze
Paris	1900	Archery	Archery		BEL	Men		M	Gold
Paris	1900	Archery	Archery		FRA	Men		M	Silver
Paris	1900	Archery	Archery		FRA	Men		M	Bronze
Paris	1900	Archery	Archery		FRA	Men		M	Gold
Paris	1900	Archery	Archery		BEL	Men		M	Silver
Paris	1900	Archery	Archery		BEL	Men		M	Gold
Paris	1900	Archery	Archery		BEL	Men		M	Silver
Paris	1900	Archery	Archery		FRA	Men		M	Silver
Paris	1900	Archery	Archery		BEL	Men		M	Bronze
Paris	1900	Archery	Archery		FRA	Men		M	Gold
Paris	1900	Archery	Archery		FRA	Men		M	Silver
Paris	1900	Athletics	Athletics		AUS	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Athletics	Athletics		USA	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Athletics	Athletics		USA	Men		M	Bronze
Paris	1900	Athletics	Athletics		GBR	Men		M	Gold
Paris	1900	Athletics	Athletics		FRA	Men		M	Silver
Paris	1900	Athletics	Athletics		AUS	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		IND	Men		M	Silver
Paris	1900	Athletics	Athletics		USA	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		IND	Men		M	Silver
Paris	1900	Athletics	Athletics		FRA	Men		M	Bronze
Paris	1900	Athletics	Athletics		CAN	Men		M	Gold
Paris	1900	Athletics	Athletics		GBR	Men		M	Silver
Paris	1900	Athletics	Athletics		GBR	Men		M	Bronze
Paris	1900	Athletics	Athletics		GBR	Men		M	Gold
Paris	1900	Athletics	Athletics		GBR	Men		M	Silver
Paris	1900	Athletics	Athletics		DEN	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Athletics	Athletics		CAN	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		FRA	Men		M	Silver
Paris	1900	Athletics	Athletics		ZZX	Men		M	Gold
Paris	1900	Athletics	Athletics		ZZX	Men		M	Gold
Paris	1900	Athletics	Athletics		ZZX	Men		M	Gold
Paris	1900	Athletics	Athletics		ZZX	Men		M	Gold
Paris	1900	Athletics	Athletics		ZZX	Men		M	Gold
Paris	1900	Athletics	Athletics		FRA	Men		M	Silver
Paris	1900	Athletics	Athletics		FRA	Men		M	Silver
Paris	1900	Athletics	Athletics		FRA	Men		M	Silver
Paris	1900	Athletics	Athletics		FRA	Men		M	Silver
Paris	1900	Athletics	Athletics		FRA	Men		M	Silver
Paris	1900	Athletics	Athletics		AUS	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Athletics	Athletics		USA	Men		M	Bronze
Paris	1900	Athletics	Athletics		GBR	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Athletics	Athletics		USA	Men		M	Bronze
Paris	1900	Athletics	Athletics		HUN	Men		M	Gold
Paris	1900	Athletics	Athletics		BOH	Men		M	Silver
Paris	1900	Athletics	Athletics		USA	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Athletics	Athletics		HUN	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		GBR	Men		M	Silver
Paris	1900	Athletics	Athletics		USA	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Athletics	Athletics		GBR	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Athletics	Athletics		FRA	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Athletics	Athletics		SWE	Men		M	Bronze
Paris	1900	Athletics	Athletics		FRA	Men		M	Gold
Paris	1900	Athletics	Athletics		FRA	Men		M	Silver
Paris	1900	Athletics	Athletics		NOR	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Athletics	Athletics		USA	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Athletics	Athletics		USA	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Athletics	Athletics		USA	Men		M	Bronze
Paris	1900	Athletics	Athletics		USA	Men		M	Gold
Paris	1900	Athletics	Athletics		USA	Men		M	Silver
Paris	1900	Basque Pelota	Basque Pelota		ESP	Men		M	Gold
Paris	1900	Basque Pelota	Basque Pelota		ESP	Men		M	Gold
Paris	1900	Basque Pelota	Basque Pelota		FRA	Men		M	Silver
Paris	1900	Basque Pelota	Basque Pelota		FRA	Men		M	Silver
Paris	1900	Cricket	Cricket		GBR	Men		M	Gold
Paris	1900	Cricket	Cricket		GBR	Men		M	Gold
Paris	1900	Cricket	Cricket		GBR	Men		M	Gold
Paris	1900	Cricket	Cricket		GBR	Men		M	Gold
Paris	1900	Cricket	Cricket		GBR	Men		M	Gold
Paris	1900	Cricket	Cricket		GBR	Men		M	Gold
Paris	1900	Cricket	Cricket		GBR	Men		M	Gold
Paris	1900	Cricket	Cricket		GBR	Men		M	Gold
Paris	1900	Cricket	Cricket		GBR	Men		M	Gold
Paris	1900	Cricket	Cricket		GBR	Men		M	Gold
Paris	1900	Cricket	Cricket		GBR	Men		M	Gold
Paris	1900	Cricket	Cricket		GBR	Men		M	Gold
Paris	1900	Cricket	Cricket		FRA	Men		M	Silver
Paris	1900	Cricket	Cricket		FRA	Men		M	Silver
Paris	1900	Cricket	Cricket		FRA	Men		M	Silver
Paris	1900	Cricket	Cricket		FRA	Men		M	Silver
Paris	1900	Cricket	Cricket		FRA	Men		M	Silver
Paris	1900	Cricket	Cricket		FRA	Men		M	Silver
Paris	1900	Cricket	Cricket		FRA	Men		M	Silver
Paris	1900	Cricket	Cricket		FRA	Men		M	Silver
Paris	1900	Cricket	Cricket		FRA	Men		M	Silver
Paris	1900	Cricket	Cricket		FRA	Men		M	Silver
Paris	1900	Cricket	Cricket		FRA	Men		M	Silver
Paris	1900	Cricket	Cricket		FRA	Men		M	Silver
Paris	1900	Croquet	Croquet		FRA	Men		M	Gold
Paris	1900	Croquet	Croquet		FRA	Men		M	Gold
Paris	1900	Croquet	Croquet		FRA	Men		M	Bronze
Paris	1900	Croquet	Croquet		FRA	Men		M	Gold
Paris	1900	Croquet	Croquet		FRA	Men		M	Silver
Paris	1900	Croquet	Croquet		FRA	Men		M	Bronze
Paris	1900	Croquet	Croquet		FRA	Men		M	Gold
Paris	1900	Croquet	Croquet		FRA	Men		M	Silver
Paris	1900	Cycling	Cycling Track		FRA	Men		M	Bronze
Paris	1900	Cycling	Cycling Track		FRA	Men		M	Gold
Paris	1900	Cycling	Cycling Track		FRA	Men		M	Silver
Paris	1900	Cycling	Cycling Track		USA	Men		M	Bronze
Paris	1900	Cycling	Cycling Track		FRA	Men		M	Gold
Paris	1900	Cycling	Cycling Track		FRA	Men		M	Silver
Paris	1900	Equestrian	Jumping		BEL	Men		X	Bronze
Paris	1900	Equestrian	Jumping		FRA	Men		X	Gold
Paris	1900	Equestrian	Jumping		ITA	Men		X	Gold
Paris	1900	Equestrian	Jumping		FRA	Men		X	Bronze
Paris	1900	Equestrian	Jumping		BEL	Men		X	Gold
Paris	1900	Equestrian	Jumping		BEL	Men		X	Silver
Paris	1900	Equestrian	Jumping		FRA	Men		X	Bronze
Paris	1900	Equestrian	Jumping		BEL	Men		X	Gold
Paris	1900	Equestrian	Jumping		ITA	Men		X	Silver
Paris	1900	Fencing	Fencing		FRA	Men		M	Bronze
Paris	1900	Fencing	Fencing		CUB	Men		M	Gold
Paris	1900	Fencing	Fencing		FRA	Men		M	Silver
Paris	1900	Fencing	Fencing		FRA	Men		M	Bronze
Paris	1900	Fencing	Fencing		FRA	Men		M	Gold
Paris	1900	Fencing	Fencing		CUB	Men		M	Silver
Paris	1900	Fencing	Fencing		FRA	Men		M	Bronze
Paris	1900	Fencing	Fencing		FRA	Men		M	Gold
Paris	1900	Fencing	Fencing		FRA	Men		M	Silver
Paris	1900	Fencing	Fencing		FRA	Men		M	Bronze
Paris	1900	Fencing	Fencing		FRA	Men		M	Gold
Paris	1900	Fencing	Fencing		FRA	Men		M	Silver
Paris	1900	Fencing	Fencing		FRA	Men		M	Bronze
Paris	1900	Fencing	Fencing		FRA	Men		M	Gold
Paris	1900	Fencing	Fencing		FRA	Men		M	Silver
Paris	1900	Fencing	Fencing		AUT	Men		M	Bronze
Paris	1900	Fencing	Fencing		FRA	Men		M	Gold
Paris	1900	Fencing	Fencing		FRA	Men		M	Silver
Paris	1900	Fencing	Fencing		AUT	Men		M	Bronze
Paris	1900	Fencing	Fencing		ITA	Men		M	Gold
Paris	1900	Fencing	Fencing		ITA	Men		M	Silver
Paris	1900	Football	Football		BEL	Men		M	Bronze
Paris	1900	Football	Football		BEL	Men		M	Bronze
Paris	1900	Football	Football		BEL	Men		M	Bronze
Paris	1900	Football	Football		BEL	Men		M	Bronze
Paris	1900	Football	Football		BEL	Men		M	Bronze
Paris	1900	Football	Football		BEL	Men		M	Bronze
Paris	1900	Football	Football		BEL	Men		M	Bronze
Paris	1900	Football	Football		BEL	Men		M	Bronze
Paris	1900	Football	Football		BEL	Men		M	Bronze
Paris	1900	Football	Football		BEL	Men		M	Bronze
Paris	1900	Football	Football		BEL	Men		M	Bronze
Paris	1900	Football	Football		GBR	Men		M	Gold
Paris	1900	Football	Football		GBR	Men		M	Gold
Paris	1900	Football	Football		GBR	Men		M	Gold
Paris	1900	Football	Football		GBR	Men		M	Gold
Paris	1900	Football	Football		GBR	Men		M	Gold
Paris	1900	Football	Football		GBR	Men		M	Gold
Paris	1900	Football	Football		GBR	Men		M	Gold
Paris	1900	Football	Football		GBR	Men		M	Gold
Paris	1900	Football	Football		GBR	Men		M	Gold
Paris	1900	Football	Football		GBR	Men		M	Gold
Paris	1900	Football	Football		GBR	Men		M	Gold
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Football	Football		FRA	Men		M	Silver
Paris	1900	Golf	Golf		GBR	Men		M	Bronze
Paris	1900	Golf	Golf		USA	Men		M	Gold
Paris	1900	Golf	Golf		GBR	Men		M	Silver
Paris	1900	Golf	Golf		USA	Women		W	Bronze
Paris	1900	Golf	Golf		USA	Women		W	Gold
Paris	1900	Golf	Golf		USA	Women		W	Silver
Paris	1900	Gymnastics	Artistic G.		FRA	Men		M	Bronze
Paris	1900	Gymnastics	Artistic G.		FRA	Men		M	Gold
Paris	1900	Gymnastics	Artistic G.		FRA	Men		M	Silver
Paris	1900	Polo	Polo		ZZX	Men		M	Bronze
Paris	1900	Polo	Polo		ZZX	Men		M	Bronze
Paris	1900	Polo	Polo		ZZX	Men		M	Bronze
Paris	1900	Polo	Polo		ZZX	Men		M	Bronze
Paris	1900	Polo	Polo		ZZX	Men		M	Gold
Paris	1900	Polo	Polo		ZZX	Men		M	Gold
Paris	1900	Polo	Polo		ZZX	Men		M	Gold
Paris	1900	Polo	Polo		ZZX	Men		M	Gold
Paris	1900	Polo	Polo		ZZX	Men		M	Silver
Paris	1900	Polo	Polo		ZZX	Men		M	Silver
Paris	1900	Polo	Polo		ZZX	Men		M	Silver
Paris	1900	Polo	Polo		ZZX	Men		M	Silver
Paris	1900	Rowing	Rowing		NED	Men		M	Bronze
Paris	1900	Rowing	Rowing		NED	Men		M	Bronze
Paris	1900	Rowing	Rowing		NED	Men		M	Bronze
Paris	1900	Rowing	Rowing		NED	Men		M	Bronze
Paris	1900	Rowing	Rowing		NED	Men		M	Bronze
Paris	1900	Rowing	Rowing		NED	Men		M	Bronze
Paris	1900	Rowing	Rowing		NED	Men		M	Bronze
Paris	1900	Rowing	Rowing		NED	Men		M	Bronze
Paris	1900	Rowing	Rowing		NED	Men		M	Bronze
Paris	1900	Rowing	Rowing		USA	Men		M	Gold
Paris	1900	Rowing	Rowing		USA	Men		M	Gold
Paris	1900	Rowing	Rowing		USA	Men		M	Gold
Paris	1900	Rowing	Rowing		USA	Men		M	Gold
Paris	1900	Rowing	Rowing		USA	Men		M	Gold
Paris	1900	Rowing	Rowing		USA	Men		M	Gold
Paris	1900	Rowing	Rowing		USA	Men		M	Gold
Paris	1900	Rowing	Rowing		USA	Men		M	Gold
Paris	1900	Rowing	Rowing		USA	Men		M	Gold
Paris	1900	Rowing	Rowing		BEL	Men		M	Silver
Paris	1900	Rowing	Rowing		BEL	Men		M	Silver
Paris	1900	Rowing	Rowing		BEL	Men		M	Silver
